candidate,county,party,percentage,popular_vote,state,summary_level
 R. De La Fuente,Tuscaloosa County,DEMOCRAT,0.1%,22,alabama,county
 D. Trump,Tuscaloosa County,REPUBLICAN,37.5%,"11,652",alabama,county
 T. Cruz,Tuscaloosa County,REPUBLICAN,25.0%,"7,789",alabama,county
 M. Rubio,Tuscaloosa County,REPUBLICAN,20.4%,"6,333",alabama,county
 B. Carson,Tuscaloosa County,REPUBLICAN,10.6%,"3,310",alabama,county
 J. Kasich,Tuscaloosa County,REPUBLICAN,4.4%,"1,381",alabama,county
 Uncommitted,Tuscaloosa County,REPUBLICAN,0.9%,275,alabama,county
 J. Bush,Tuscaloosa County,REPUBLICAN,0.4%,128,alabama,county
 M. Huckabee,Tuscaloosa County,REPUBLICAN,0.3%,91,alabama,county
 R. Paul,Tuscaloosa County,REPUBLICAN,0.2%,67,alabama,county
 C. Christie,Tuscaloosa County,REPUBLICAN,0.1%,29,alabama,county
 R. Santorum,Tuscaloosa County,REPUBLICAN,0.1%,18,alabama,county
 C. Fiorina,Tuscaloosa County,REPUBLICAN,0.0%,15,alabama,county
 L. Graham,Tuscaloosa County,REPUBLICAN,0.0%,9,alabama,county
 H. Clinton,Walker County,DEMOCRAT,67.1%,"1,772",alabama,county
 B. Sanders,Walker County,DEMOCRAT,27.5%,727,alabama,county
 Uncommitted,Walker County,DEMOCRAT,4.4%,117,alabama,county
 M. O'Malley,Walker County,DEMOCRAT,0.6%,17,alabama,county
 R. De La Fuente,Walker County,DEMOCRAT,0.3%,9,alabama,county
 D. Trump,Walker County,REPUBLICAN,55.1%,"8,394",alabama,county
 T. Cruz,Walker County,REPUBLICAN,20.4%,"3,106",alabama,county
 M. Rubio,Walker County,REPUBLICAN,10.8%,"1,652",alabama,county
 B. Carson,Walker County,REPUBLICAN,9.0%,"1,369",alabama,county
 J. Kasich,Walker County,REPUBLICAN,2.4%,362,alabama,county
 Uncommitted,Walker County,REPUBLICAN,1.2%,179,alabama,county
 J. Bush,Walker County,REPUBLICAN,0.4%,68,alabama,county
 M. Huckabee,Walker County,REPUBLICAN,0.3%,49,alabama,county
 R. Paul,Walker County,REPUBLICAN,0.1%,20,alabama,county
 C. Christie,Walker County,REPUBLICAN,0.1%,17,alabama,county
 R. Santorum,Walker County,REPUBLICAN,0.1%,12,alabama,county
 C. Fiorina,Walker County,REPUBLICAN,0.0%,7,alabama,county
 L. Graham,Walker County,REPUBLICAN,0.0%,5,alabama,county
 H. Clinton,Washington County,DEMOCRAT,57.5%,"1,511",alabama,county
 B. Sanders,Washington County,DEMOCRAT,21.4%,562,alabama,county
 Uncommitted,Washington County,DEMOCRAT,18.7%,492,alabama,county
 M. O'Malley,Washington County,DEMOCRAT,1.5%,39,alabama,county
 R. De La Fuente,Washington County,DEMOCRAT,1.0%,25,alabama,county
 D. Trump,Washington County,REPUBLICAN,53.7%,"1,269",alabama,county
 T. Cruz,Washington County,REPUBLICAN,21.8%,516,alabama,county
 M. Rubio,Washington County,REPUBLICAN,15.3%,362,alabama,county
 B. Carson,Washington County,REPUBLICAN,6.4%,152,alabama,county
 J. Kasich,Washington County,REPUBLICAN,1.1%,27,alabama,county
 Uncommitted,Washington County,REPUBLICAN,0.8%,20,alabama,county
 J. Bush,Washington County,REPUBLICAN,0.2%,5,alabama,county
 M. Huckabee,Washington County,REPUBLICAN,0.2%,5,alabama,county
 R. Santorum,Washington County,REPUBLICAN,0.1%,3,alabama,county
 C. Christie,Washington County,REPUBLICAN,0.1%,2,alabama,county
 R. Paul,Washington County,REPUBLICAN,0.0%,1,alabama,county
 C. Fiorina,Washington County,REPUBLICAN,0.0%,0,alabama,county
 L. Graham,Washington County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,Wilcox County,DEMOCRAT,84.3%,"3,337",alabama,county
 B. Sanders,Wilcox County,DEMOCRAT,10.4%,410,alabama,county
 Uncommitted,Wilcox County,DEMOCRAT,3.9%,155,alabama,county
 R. De La Fuente,Wilcox County,DEMOCRAT,0.8%,33,alabama,county
 M. O'Malley,Wilcox County,DEMOCRAT,0.6%,23,alabama,county
 D. Trump,Wilcox County,REPUBLICAN,54.4%,287,alabama,county
 T. Cruz,Wilcox County,REPUBLICAN,21.6%,114,alabama,county
 M. Rubio,Wilcox County,REPUBLICAN,12.1%,64,alabama,county
 B. Carson,Wilcox County,REPUBLICAN,8.3%,44,alabama,county
 J. Kasich,Wilcox County,REPUBLICAN,2.3%,12,alabama,county
 J. Bush,Wilcox County,REPUBLICAN,0.6%,3,alabama,county
 M. Huckabee,Wilcox County,REPUBLICAN,0.4%,2,alabama,county
 R. Paul,Wilcox County,REPUBLICAN,0.2%,1,alabama,county
 Uncommitted,Wilcox County,REPUBLICAN,0.2%,1,alabama,county
 C. Christie,Wilcox County,REPUBLICAN,0.0%,0,alabama,county
 C. Fiorina,Wilcox County,REPUBLICAN,0.0%,0,alabama,county
 L. Graham,Wilcox County,REPUBLICAN,0.0%,0,alabama,county
 R. Santorum,Wilcox County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,Winston County,DEMOCRAT,66.7%,303,alabama,county
 B. Sanders,Winston County,DEMOCRAT,30.4%,138,alabama,county
 Uncommitted,Winston County,DEMOCRAT,2.0%,9,alabama,county
 M. O'Malley,Winston County,DEMOCRAT,0.7%,3,alabama,county
 R. De La Fuente,Winston County,DEMOCRAT,0.2%,1,alabama,county
 D. Trump,Winston County,REPUBLICAN,56.1%,"3,352",alabama,county
 T. Cruz,Winston County,REPUBLICAN,18.0%,"1,076",alabama,county
 M. Rubio,Winston County,REPUBLICAN,11.9%,708,alabama,county
 B. Carson,Winston County,REPUBLICAN,9.0%,539,alabama,county
 J. Kasich,Winston County,REPUBLICAN,2.7%,163,alabama,county
 Uncommitted,Winston County,REPUBLICAN,0.9%,54,alabama,county
 J. Bush,Winston County,REPUBLICAN,0.5%,27,alabama,county
 M. Huckabee,Winston County,REPUBLICAN,0.4%,22,alabama,county
 R. Paul,Winston County,REPUBLICAN,0.2%,10,alabama,county
 C. Christie,Winston County,REPUBLICAN,0.1%,8,alabama,county
 C. Fiorina,Winston County,REPUBLICAN,0.1%,6,alabama,county
 R. Santorum,Winston County,REPUBLICAN,0.1%,6,alabama,county
 L. Graham,Winston County,REPUBLICAN,0.0%,2,alabama,county
D. Trump,Hawaii County,REPUBLICAN,47.7%,955,hawaii,county
T. Cruz,Hawaii County,REPUBLICAN,28.1%,562,hawaii,county
M. Rubio,Hawaii County,REPUBLICAN,11.6%,232,hawaii,county
J. Kasich,Hawaii County,REPUBLICAN,11.4%,229,hawaii,county
B. Carson,Hawaii County,REPUBLICAN,0.9%,19,hawaii,county
J. Bush,Hawaii County,REPUBLICAN,0.2%,5,hawaii,county
D. Trump,Honolulu County,REPUBLICAN,40.5%,"3,664",hawaii,county
T. Cruz,Honolulu County,REPUBLICAN,34.3%,"3,100",hawaii,county
M. Rubio,Honolulu County,REPUBLICAN,13.9%,"1,261",hawaii,county
J. Kasich,Honolulu County,REPUBLICAN,10.1%,918,hawaii,county
B. Carson,Honolulu County,REPUBLICAN,1.0%,86,hawaii,county
J. Bush,Honolulu County,REPUBLICAN,0.2%,16,hawaii,county
D. Trump,Kauai County,REPUBLICAN,42.7%,380,hawaii,county
T. Cruz,Kauai County,REPUBLICAN,35.6%,317,hawaii,county
J. Kasich,Kauai County,REPUBLICAN,11.5%,102,hawaii,county
M. Rubio,Kauai County,REPUBLICAN,9.0%,80,hawaii,county
B. Carson,Kauai County,REPUBLICAN,1.1%,10,hawaii,county
J. Bush,Kauai County,REPUBLICAN,0.1%,1,hawaii,county
D. Trump,Maui County,REPUBLICAN,47.1%,678,hawaii,county
T. Cruz,Maui County,REPUBLICAN,27.8%,400,hawaii,county
M. Rubio,Maui County,REPUBLICAN,12.9%,186,hawaii,county
J. Kasich,Maui County,REPUBLICAN,11.4%,164,hawaii,county
B. Carson,Maui County,REPUBLICAN,0.8%,12,hawaii,county
J. Bush,Maui County,REPUBLICAN,0.0%,0,hawaii,county
H. Clinton,Barnstable County,DEMOCRAT,48.9%,"21,847",massachusetts,county
B. Sanders,Barnstable County,DEMOCRAT,50.1%,"22,393",massachusetts,county
No Preference,Barnstable County,DEMOCRAT,0.5%,214,massachusetts,county
M. O'Malley,Barnstable County,DEMOCRAT,0.4%,163,massachusetts,county
R. De La Fuente,Barnstable County,DEMOCRAT,0.1%,47,massachusetts,county
D. Trump,Barnstable County,REPUBLICAN,51.6%,"17,194",massachusetts,county
J. Kasich,Barnstable County,REPUBLICAN,17.7%,"5,883",massachusetts,county
M. Rubio,Barnstable County,REPUBLICAN,15.7%,"5,234",massachusetts,county
T. Cruz,Barnstable County,REPUBLICAN,9.0%,"2,988",massachusetts,county
B. Carson,Barnstable County,REPUBLICAN,3.1%,"1,036",massachusetts,county
J. Bush,Barnstable County,REPUBLICAN,1.3%,430,massachusetts,county
No Preference,Barnstable County,REPUBLICAN,0.5%,183,massachusetts,county
C. Christie,Barnstable County,REPUBLICAN,0.4%,129,massachusetts,county
R. Paul,Barnstable County,REPUBLICAN,0.2%,71,massachusetts,county
C. Fiorina,Barnstable County,REPUBLICAN,0.2%,67,massachusetts,county
J. Gilmore,Barnstable County,REPUBLICAN,0.1%,29,massachusetts,county
M. Huckabee,Barnstable County,REPUBLICAN,0.1%,28,massachusetts,county
G. Pataki,Barnstable County,REPUBLICAN,0.1%,25,massachusetts,county
R. Santorum,Barnstable County,REPUBLICAN,0.1%,17,massachusetts,county
H. Clinton,Berkshire County,DEMOCRAT,47.6%,"12,616",massachusetts,county
B. Sanders,Berkshire County,DEMOCRAT,51.5%,"13,642",massachusetts,county
No Preference,Berkshire County,DEMOCRAT,0.6%,157,massachusetts,county
M. O'Malley,Berkshire County,DEMOCRAT,0.2%,64,massachusetts,county
R. De La Fuente,Berkshire County,DEMOCRAT,0.1%,32,massachusetts,county
D. Trump,Berkshire County,REPUBLICAN,43.3%,"3,348",massachusetts,county
M. Rubio,Berkshire County,REPUBLICAN,19.2%,"1,489",massachusetts,county
J. Kasich,Berkshire County,REPUBLICAN,16.0%,"1,241",massachusetts,county
T. Cruz,Berkshire County,REPUBLICAN,12.7%,983,massachusetts,county
B. Carson,Berkshire County,REPUBLICAN,4.8%,370,massachusetts,county
J. Bush,Berkshire County,REPUBLICAN,1.1%,85,massachusetts,county
No Preference,Berkshire County,REPUBLICAN,0.6%,50,massachusetts,county
J. Gilmore,Berkshire County,REPUBLICAN,0.5%,41,massachusetts,county
C. Christie,Berkshire County,REPUBLICAN,0.4%,34,massachusetts,county
R. Paul,Berkshire County,REPUBLICAN,0.4%,33,massachusetts,county
G. Pataki,Berkshire County,REPUBLICAN,0.3%,26,massachusetts,county
M. Huckabee,Berkshire County,REPUBLICAN,0.3%,20,massachusetts,county
C. Fiorina,Berkshire County,REPUBLICAN,0.1%,11,massachusetts,county
R. Santorum,Berkshire County,REPUBLICAN,0.1%,8,massachusetts,county
H. Clinton,Bristol County,DEMOCRAT,49.4%,"36,751",massachusetts,county
B. Sanders,Bristol County,DEMOCRAT,49.0%,"36,422",massachusetts,county
No Preference,Bristol County,DEMOCRAT,1.0%,748,massachusetts,county
M. O'Malley,Bristol County,DEMOCRAT,0.4%,304,massachusetts,county
R. De La Fuente,Bristol County,DEMOCRAT,0.1%,109,massachusetts,county
D. Trump,Bristol County,REPUBLICAN,54.9%,"25,540",massachusetts,county
M. Rubio,Bristol County,REPUBLICAN,16.4%,"7,602",massachusetts,county
J. Kasich,Bristol County,REPUBLICAN,13.0%,"6,020",massachusetts,county
T. Cruz,Bristol County,REPUBLICAN,10.3%,"4,767",massachusetts,county
B. Carson,Bristol County,REPUBLICAN,3.2%,"1,483",massachusetts,county
J. Bush,Bristol County,REPUBLICAN,0.7%,342,massachusetts,county
No Preference,Bristol County,REPUBLICAN,0.5%,220,massachusetts,county
R. Paul,Bristol County,REPUBLICAN,0.3%,140,massachusetts,county
C. Christie,Bristol County,REPUBLICAN,0.2%,103,massachusetts,county
C. Fiorina,Bristol County,REPUBLICAN,0.2%,77,massachusetts,county
J. Gilmore,Bristol County,REPUBLICAN,0.1%,69,massachusetts,county
M. Huckabee,Bristol County,REPUBLICAN,0.1%,60,massachusetts,county
G. Pataki,Bristol County,REPUBLICAN,0.1%,31,massachusetts,county
R. Santorum,Bristol County,REPUBLICAN,0.1%,26,massachusetts,county
H. Clinton,Dukes County,DEMOCRAT,45.0%,"2,311",massachusetts,county
B. Sanders,Dukes County,DEMOCRAT,54.6%,"2,802",massachusetts,county
M. O'Malley,Dukes County,DEMOCRAT,0.3%,13,massachusetts,county
No Preference,Dukes County,DEMOCRAT,0.2%,8,massachusetts,county
R. De La Fuente,Dukes County,DEMOCRAT,0.0%,1,massachusetts,county
D. Trump,Dukes County,REPUBLICAN,48.4%,691,massachusetts,county
J. Kasich,Dukes County,REPUBLICAN,19.8%,283,massachusetts,county
M. Rubio,Dukes County,REPUBLICAN,15.0%,214,massachusetts,county
T. Cruz,Dukes County,REPUBLICAN,9.6%,137,massachusetts,county
B. Carson,Dukes County,REPUBLICAN,2.9%,42,massachusetts,county
J. Bush,Dukes County,REPUBLICAN,1.8%,26,massachusetts,county
No Preference,Dukes County,REPUBLICAN,1.0%,14,massachusetts,county
C. Christie,Dukes County,REPUBLICAN,0.3%,5,massachusetts,county
C. Fiorina,Dukes County,REPUBLICAN,0.3%,4,massachusetts,county
M. Huckabee,Dukes County,REPUBLICAN,0.3%,4,massachusetts,county
R. Paul,Dukes County,REPUBLICAN,0.3%,4,massachusetts,county
J. Gilmore,Dukes County,REPUBLICAN,0.2%,3,massachusetts,county
G. Pataki,Dukes County,REPUBLICAN,0.1%,2,massachusetts,county
R. Santorum,Dukes County,REPUBLICAN,0.0%,0,massachusetts,county
H. Clinton,Essex County,DEMOCRAT,49.1%,"65,391",massachusetts,county
B. Sanders,Essex County,DEMOCRAT,49.7%,"66,236",massachusetts,county
No Preference,Essex County,DEMOCRAT,0.8%,"1,021",massachusetts,county
M. O'Malley,Essex County,DEMOCRAT,0.4%,500,massachusetts,county
R. De La Fuente,Essex County,DEMOCRAT,0.1%,157,massachusetts,county
D. Trump,Essex County,REPUBLICAN,52.1%,"43,420",massachusetts,county
J. Kasich,Essex County,REPUBLICAN,17.5%,"14,612",massachusetts,county
M. Rubio,Essex County,REPUBLICAN,16.8%,"14,007",massachusetts,county
T. Cruz,Essex County,REPUBLICAN,8.8%,"7,363",massachusetts,county
B. Carson,Essex County,REPUBLICAN,2.2%,"1,813",massachusetts,county
J. Bush,Essex County,REPUBLICAN,1.0%,872,massachusetts,county
No Preference,Essex County,REPUBLICAN,0.4%,370,massachusetts,county
R. Paul,Essex County,REPUBLICAN,0.3%,213,massachusetts,county
C. Christie,Essex County,REPUBLICAN,0.2%,207,massachusetts,county
C. Fiorina,Essex County,REPUBLICAN,0.2%,179,massachusetts,county
M. Huckabee,Essex County,REPUBLICAN,0.1%,85,massachusetts,county
J. Gilmore,Essex County,REPUBLICAN,0.1%,72,massachusetts,county
G. Pataki,Essex County,REPUBLICAN,0.1%,54,massachusetts,county
R. Santorum,Essex County,REPUBLICAN,0.0%,37,massachusetts,county
H. Clinton,Franklin County,DEMOCRAT,29.1%,"5,483",massachusetts,county
B. Sanders,Franklin County,DEMOCRAT,70.4%,"13,276",massachusetts,county
M. O'Malley,Franklin County,DEMOCRAT,0.3%,48,massachusetts,county
No Preference,Franklin County,DEMOCRAT,0.2%,46,massachusetts,county
R. De La Fuente,Franklin County,DEMOCRAT,0.0%,5,massachusetts,county
D. Trump,Franklin County,REPUBLICAN,41.1%,"2,408",massachusetts,county
J. Kasich,Franklin County,REPUBLICAN,23.2%,"1,359",massachusetts,county
M. Rubio,Franklin County,REPUBLICAN,17.7%,"1,038",massachusetts,county
T. Cruz,Franklin County,REPUBLICAN,9.9%,583,massachusetts,county
B. Carson,Franklin County,REPUBLICAN,4.5%,264,massachusetts,county
No Preference,Franklin County,REPUBLICAN,1.0%,60,massachusetts,county
J. Bush,Franklin County,REPUBLICAN,0.9%,52,massachusetts,county
R. Paul,Franklin County,REPUBLICAN,0.5%,28,massachusetts,county
C. Christie,Franklin County,REPUBLICAN,0.3%,20,massachusetts,county
M. Huckabee,Franklin County,REPUBLICAN,0.3%,17,massachusetts,county
J. Gilmore,Franklin County,REPUBLICAN,0.2%,12,massachusetts,county
R. Santorum,Franklin County,REPUBLICAN,0.2%,10,massachusetts,county
C. Fiorina,Franklin County,REPUBLICAN,0.1%,8,massachusetts,county
G. Pataki,Franklin County,REPUBLICAN,0.1%,7,massachusetts,county
H. Clinton,Hampden County,DEMOCRAT,50.8%,"31,715",massachusetts,county
B. Sanders,Hampden County,DEMOCRAT,47.5%,"29,644",massachusetts,county
No Preference,Hampden County,DEMOCRAT,0.9%,549,massachusetts,county
M. O'Malley,Hampden County,DEMOCRAT,0.5%,333,massachusetts,county
R. De La Fuente,Hampden County,DEMOCRAT,0.2%,132,massachusetts,county
D. Trump,Hampden County,REPUBLICAN,49.6%,"18,603",massachusetts,county
J. Kasich,Hampden County,REPUBLICAN,16.9%,"6,332",massachusetts,county
M. Rubio,Hampden County,REPUBLICAN,15.5%,"5,814",massachusetts,county
T. Cruz,Hampden County,REPUBLICAN,12.3%,"4,613",massachusetts,county
B. Carson,Hampden County,REPUBLICAN,3.4%,"1,275",massachusetts,county
J. Bush,Hampden County,REPUBLICAN,0.6%,237,massachusetts,county
No Preference,Hampden County,REPUBLICAN,0.5%,201,massachusetts,county
R. Paul,Hampden County,REPUBLICAN,0.3%,99,massachusetts,county
C. Christie,Hampden County,REPUBLICAN,0.2%,79,massachusetts,county
J. Gilmore,Hampden County,REPUBLICAN,0.2%,66,massachusetts,county
M. Huckabee,Hampden County,REPUBLICAN,0.1%,53,massachusetts,county
C. Fiorina,Hampden County,REPUBLICAN,0.1%,44,massachusetts,county
G. Pataki,Hampden County,REPUBLICAN,0.1%,36,massachusetts,county
R. Santorum,Hampden County,REPUBLICAN,0.1%,20,massachusetts,county
H. Clinton,Hampshire County,DEMOCRAT,36.5%,"14,274",massachusetts,county
B. Sanders,Hampshire County,DEMOCRAT,62.7%,"24,516",massachusetts,county
No Preference,Hampshire County,DEMOCRAT,0.4%,165,massachusetts,county
M. O'Malley,Hampshire County,DEMOCRAT,0.3%,106,massachusetts,county
R. De La Fuente,Hampshire County,DEMOCRAT,0.1%,35,massachusetts,county
D. Trump,Hampshire County,REPUBLICAN,45.8%,"5,336",massachusetts,county
J. Kasich,Hampshire County,REPUBLICAN,20.9%,"2,436",massachusetts,county
M. Rubio,Hampshire County,REPUBLICAN,16.6%,"1,932",massachusetts,county
T. Cruz,Hampshire County,REPUBLICAN,11.1%,"1,295",massachusetts,county
B. Carson,Hampshire County,REPUBLICAN,3.1%,356,massachusetts,county
J. Bush,Hampshire County,REPUBLICAN,0.7%,78,massachusetts,county
No Preference,Hampshire County,REPUBLICAN,0.6%,65,massachusetts,county
R. Paul,Hampshire County,REPUBLICAN,0.4%,48,massachusetts,county
C. Christie,Hampshire County,REPUBLICAN,0.2%,27,massachusetts,county
C. Fiorina,Hampshire County,REPUBLICAN,0.2%,25,massachusetts,county
M. Huckabee,Hampshire County,REPUBLICAN,0.1%,16,massachusetts,county
J. Gilmore,Hampshire County,REPUBLICAN,0.1%,12,massachusetts,county
G. Pataki,Hampshire County,REPUBLICAN,0.1%,11,massachusetts,county
R. Santorum,Hampshire County,REPUBLICAN,0.0%,5,massachusetts,county
H. Clinton,Middlesex County,DEMOCRAT,51.8%,"169,552",massachusetts,county
B. Sanders,Middlesex County,DEMOCRAT,47.1%,"154,032",massachusetts,county
No Preference,Middlesex County,DEMOCRAT,0.6%,"1,999",massachusetts,county
M. O'Malley,Middlesex County,DEMOCRAT,0.3%,"1,110",massachusetts,county
R. De La Fuente,Middlesex County,DEMOCRAT,0.1%,384,massachusetts,county
D. Trump,Middlesex County,REPUBLICAN,46.8%,"69,447",massachusetts,county
J. Kasich,Middlesex County,REPUBLICAN,20.5%,"30,467",massachusetts,county
M. Rubio,Middlesex County,REPUBLICAN,19.3%,"28,669",massachusetts,county
T. Cruz,Middlesex County,REPUBLICAN,8.7%,"12,917",massachusetts,county
B. Carson,Middlesex County,REPUBLICAN,2.0%,"3,017",massachusetts,county
J. Bush,Middlesex County,REPUBLICAN,1.0%,"1,549",massachusetts,county
No Preference,Middlesex County,REPUBLICAN,0.5%,755,massachusetts,county
R. Paul,Middlesex County,REPUBLICAN,0.3%,485,massachusetts,county
C. Christie,Middlesex County,REPUBLICAN,0.3%,444,massachusetts,county
C. Fiorina,Middlesex County,REPUBLICAN,0.2%,273,massachusetts,county
J. Gilmore,Middlesex County,REPUBLICAN,0.1%,168,massachusetts,county
M. Huckabee,Middlesex County,REPUBLICAN,0.1%,132,massachusetts,county
G. Pataki,Middlesex County,REPUBLICAN,0.1%,114,massachusetts,county
R. Santorum,Middlesex County,REPUBLICAN,0.0%,56,massachusetts,county
H. Clinton,Nantucket County,DEMOCRAT,47.8%,979,massachusetts,county
B. Sanders,Nantucket County,DEMOCRAT,51.4%,"1,051",massachusetts,county
No Preference,Nantucket County,DEMOCRAT,0.5%,10,massachusetts,county
M. O'Malley,Nantucket County,DEMOCRAT,0.2%,5,massachusetts,county
R. De La Fuente,Nantucket County,DEMOCRAT,0.0%,1,massachusetts,county
D. Trump,Nantucket County,REPUBLICAN,49.4%,484,massachusetts,county
M. Rubio,Nantucket County,REPUBLICAN,18.0%,176,massachusetts,county
J. Kasich,Nantucket County,REPUBLICAN,15.2%,149,massachusetts,county
T. Cruz,Nantucket County,REPUBLICAN,10.2%,100,massachusetts,county
B. Carson,Nantucket County,REPUBLICAN,2.8%,27,massachusetts,county
J. Bush,Nantucket County,REPUBLICAN,1.8%,18,massachusetts,county
No Preference,Nantucket County,REPUBLICAN,1.0%,10,massachusetts,county
C. Christie,Nantucket County,REPUBLICAN,0.7%,7,massachusetts,county
R. Paul,Nantucket County,REPUBLICAN,0.5%,5,massachusetts,county
J. Gilmore,Nantucket County,REPUBLICAN,0.1%,1,massachusetts,county
M. Huckabee,Nantucket County,REPUBLICAN,0.1%,1,massachusetts,county
G. Pataki,Nantucket County,REPUBLICAN,0.1%,1,massachusetts,county
C. Fiorina,Nantucket County,REPUBLICAN,0.0%,0,massachusetts,county
R. Santorum,Nantucket County,REPUBLICAN,0.0%,0,massachusetts,county
 H. Clinton,Norfolk County,DEMOCRAT,53.1%,"71,275",massachusetts,county
 B. Sanders,Norfolk County,DEMOCRAT,45.6%,"61,203",massachusetts,county
 No Preference,Norfolk County,DEMOCRAT,0.8%,"1,013",massachusetts,county
 M. O'Malley,Norfolk County,DEMOCRAT,0.5%,660,massachusetts,county
 R. De La Fuente,Norfolk County,DEMOCRAT,0.1%,183,massachusetts,county
 D. Trump,Norfolk County,REPUBLICAN,46.3%,"35,327",massachusetts,county
 J. Kasich,Norfolk County,REPUBLICAN,20.6%,"15,705",massachusetts,county
 M. Rubio,Norfolk County,REPUBLICAN,20.1%,"15,330",massachusetts,county
 T. Cruz,Norfolk County,REPUBLICAN,8.5%,"6,486",massachusetts,county
 B. Carson,Norfolk County,REPUBLICAN,1.9%,"1,444",massachusetts,county
 J. Bush,Norfolk County,REPUBLICAN,1.0%,789,massachusetts,county
 No Preference,Norfolk County,REPUBLICAN,0.5%,407,massachusetts,county
 C. Christie,Norfolk County,REPUBLICAN,0.3%,229,massachusetts,county
 R. Paul,Norfolk County,REPUBLICAN,0.2%,175,massachusetts,county
 C. Fiorina,Norfolk County,REPUBLICAN,0.2%,146,massachusetts,county
 J. Gilmore,Norfolk County,REPUBLICAN,0.1%,82,massachusetts,county
 M. Huckabee,Norfolk County,REPUBLICAN,0.1%,70,massachusetts,county
 G. Pataki,Norfolk County,REPUBLICAN,0.1%,59,massachusetts,county
 R. Santorum,Norfolk County,REPUBLICAN,0.0%,32,massachusetts,county
 B. Sanders,Plymouth County,DEMOCRAT,50.0%,"40,082",massachusetts,county
 H. Clinton,Plymouth County,DEMOCRAT,48.7%,"39,051",massachusetts,county
 No Preference,Plymouth County,DEMOCRAT,0.8%,652,massachusetts,county
 M. O'Malley,Plymouth County,DEMOCRAT,0.4%,332,massachusetts,county
 R. De La Fuente,Plymouth County,DEMOCRAT,0.1%,112,massachusetts,county
 D. Trump,Plymouth County,REPUBLICAN,53.7%,"34,746",massachusetts,county
 J. Kasich,Plymouth County,REPUBLICAN,16.2%,"10,475",massachusetts,county
 M. Rubio,Plymouth County,REPUBLICAN,15.8%,"10,259",massachusetts,county
 T. Cruz,Plymouth County,REPUBLICAN,9.3%,"6,000",massachusetts,county
 B. Carson,Plymouth County,REPUBLICAN,2.5%,"1,613",massachusetts,county
 J. Bush,Plymouth County,REPUBLICAN,1.1%,715,massachusetts,county
 No Preference,Plymouth County,REPUBLICAN,0.4%,286,massachusetts,county
 C. Christie,Plymouth County,REPUBLICAN,0.3%,213,massachusetts,county
 R. Paul,Plymouth County,REPUBLICAN,0.3%,171,massachusetts,county
 C. Fiorina,Plymouth County,REPUBLICAN,0.2%,114,massachusetts,county
 M. Huckabee,Plymouth County,REPUBLICAN,0.1%,62,massachusetts,county
 J. Gilmore,Plymouth County,REPUBLICAN,0.1%,55,massachusetts,county
 G. Pataki,Plymouth County,REPUBLICAN,0.0%,30,massachusetts,county
 R. Santorum,Plymouth County,REPUBLICAN,0.0%,24,massachusetts,county
 H. Clinton,Suffolk County,DEMOCRAT,57.1%,"79,083",massachusetts,county
 B. Sanders,Suffolk County,DEMOCRAT,41.8%,"57,872",massachusetts,county
 No Preference,Suffolk County,DEMOCRAT,0.5%,743,massachusetts,county
 M. O'Malley,Suffolk County,DEMOCRAT,0.4%,585,massachusetts,county
 R. De La Fuente,Suffolk County,DEMOCRAT,0.1%,166,massachusetts,county
 D. Trump,Suffolk County,REPUBLICAN,46.4%,"12,973",massachusetts,county
 M. Rubio,Suffolk County,REPUBLICAN,21.5%,"6,006",massachusetts,county
 J. Kasich,Suffolk County,REPUBLICAN,20.1%,"5,621",massachusetts,county
 T. Cruz,Suffolk County,REPUBLICAN,7.8%,"2,168",massachusetts,county
 B. Carson,Suffolk County,REPUBLICAN,1.7%,479,massachusetts,county
 J. Bush,Suffolk County,REPUBLICAN,0.9%,243,massachusetts,county
 No Preference,Suffolk County,REPUBLICAN,0.5%,132,massachusetts,county
 R. Paul,Suffolk County,REPUBLICAN,0.3%,97,massachusetts,county
 C. Christie,Suffolk County,REPUBLICAN,0.2%,62,massachusetts,county
 C. Fiorina,Suffolk County,REPUBLICAN,0.2%,44,massachusetts,county
 J. Gilmore,Suffolk County,REPUBLICAN,0.1%,41,massachusetts,county
 G. Pataki,Suffolk County,REPUBLICAN,0.1%,30,massachusetts,county
 M. Huckabee,Suffolk County,REPUBLICAN,0.1%,23,massachusetts,county
 R. Santorum,Suffolk County,REPUBLICAN,0.1%,15,massachusetts,county
 B. Sanders,Worcester County,DEMOCRAT,53.6%,"63,545",massachusetts,county
 H. Clinton,Worcester County,DEMOCRAT,45.1%,"53,456",massachusetts,county
 No Preference,Worcester County,DEMOCRAT,0.7%,827,massachusetts,county
 M. O'Malley,Worcester County,DEMOCRAT,0.4%,521,massachusetts,county
 R. De La Fuente,Worcester County,DEMOCRAT,0.1%,167,massachusetts,county
 D. Trump,Worcester County,REPUBLICAN,48.8%,"41,796",massachusetts,county
 M. Rubio,Worcester County,REPUBLICAN,17.6%,"15,052",massachusetts,county
 J. Kasich,Worcester County,REPUBLICAN,15.4%,"13,200",massachusetts,county
 T. Cruz,Worcester County,REPUBLICAN,11.8%,"10,073",massachusetts,county
 B. Carson,Worcester County,REPUBLICAN,3.6%,"3,058",massachusetts,county
